numero_departement;nom_commune;latitude;longitude
4;Aiglun;44,066667;6,133333
4;Allemagne-en-Provence;43,783333;6,016667
4;Allons;43,966667;6,6
4;Allos;44,233333;6,633333
4;Angles;43,933333;6,566667
4;Annot;43,966667;6,666667
4;Archail;44,116667;6,333333
4;Aubignosc;44,133333;5,966667
4;Barras;44,1;6,116667
4;Barreme;43,95;6,366667
4;Beaujeu;44,2;6,366667
4;Beauvezer;44,15;6,6
4;Beynes;43,983333;6,233333
4;Blieux;43,866667;6,366667
4;Bras-d'Asse;43,916667;6,116667
4;Braux;43,983333;6,683333
4;Brunet;43,9;6,033333
4;Castellane;43,85;6,516667
4;Castellet-les-Sausses;43,983333;6,766667
4;Champtercier;44,1;6,166667
4;Chateau-Arnoux-Saint-Auban;44,09;6,01
4;Chateauneuf-Val-Saint-Donat;44,1;5,95
4;Chateauredon;44,016667;6,216667
4;Chaudon-Norante;43,983333;6,35
4;Clumanc;44,033333;6,416667
4;Colmars;44,183333;6,633333
4;Demandolx;43,866667;6,583333
4;Digne-les-Bains;44,09;6,24
4;Draix;44,133333;6,35
4;Entrages;44,05;6,266667
4;Entrevaux;43,95;6,816667
4;Entrevennes;43,933333;6,033333
4;Esparron-de-Verdon;43,733333;5,983333
4;Estoublon;43,933333;6,166667
4;Ganagobie;44;5,916667
4;Greoux-les-Bains;43,75;5,883333
4;Hautes-Duyes;;
4;La Brillanne;43,916667;5,883333
4;La Garde;43,833333;6,55
4;La Javie;44,166667;6,35
4;Lambruisse;44,05;6,433333
4;La Mure-Argens;;
4;La Palud-sur-Verdon;;
4;La Robine-sur-Galabre;;
4;La Rochette;;
4;Le Brusquet;44,15;6,3
4;Le Castellard-Melan;44,183333;6,133333
4;Le Castellet;43,933333;5,983333
4;Le Chaffaut-Saint-Jurson;;
4;Le Fugeret;44;6,633333
4;L'Escale;44,083333;6,033333
4;Les Mees;44,033333;5,983333
4;Lurs;43,966667;5,883333
4;Majastres;43,916667;6,3
4;Malijai;44,05;6,033333
4;Mallemoisson;44,05;6,133333
4;Marcoux;44,133333;6,283333
4;Meailles;44,033333;6,633333
4;Mezel;43,983333;6,2
4;Mirabeau;44,066667;6,083333
4;Montagnac-Montpezat;;
4;Montfort;44,066667;5,966667
4;Moriez;43,95;6,466667
4;Moustiers-Sainte-Marie;43,85;6,216667
4;Oraison;43,916667;5,916667
4;Peipin;44,133333;5,95
4;Peyroules;43,816667;6,633333
4;Peyruis;44,033333;5,933333
4;Prads-Haute-Bleone;;
4;Puimichel;43,966667;6,016667
4;Puimoisson;43,866667;6,133333
4;Quinson;43,7;6,033333
4;Riez;43,816667;6,1
4;Rougon;43,8;6,4
4;Roumoules;43,833333;6,133333
4;Saint-Andre-les-Alpes;43,966667;6,5
4;Saint-Benoit;43,966667;6,733333
4;Sainte-Croix-du-Verdon;;
4;Saint-Jacques;43,966667;6,416667
4;Saint-Jeannet;43,95;6,116667
4;Saint-Julien-d'Asse;43,916667;6,1
4;Saint-Julien-du-Verdon;43,916667;6,533333
4;Saint-Jurs;43,9;6,2
4;Saint-Laurent-du-Verdon;43,716667;6,066667
4;Saint-Lions;43,983333;6,4
4;Saint-Martin-de-Bromes;43,766667;5,95
4;Saint-Pierre;;
4;Salignac;44,166667;5,983333
4;Sausses;44,016667;6,783333
4;Senez;43,916667;6,4
4;Soleilhas;43,85;6,65
4;Sourribes;44,15;6,016667
4;Tartonne;44,066667;6,383333
4;Thoard;44,15;6,15
4;Thorame-Basse;44,083333;6,5
4;Thorame-Haute;44,1;6,55
4;Ubraye;43,9;6,7
4;Val-de-Chalvagne;;
4;Valensole;43,833333;5,983333
4;Vergons;43,916667;6,583333
4;Villars-Colmars;44,166667;6,6
4;Volonne;44,116667;6,016667
4;Aubenas-les-Alpes;43,933333;5,683333
4;Authon;44,233333;6,133333
4;Auzet;44,3;6,3
4;Banon;44,033333;5,633333
4;Barcelonnette;44,383333;6,65
4;Barles;44,266667;6,266667
4;Bayons;44,333333;6,166667
4;Bellaffaire;44,416667;6,183333
4;Bevons;44,183333;5,9
4;Cereste;43,85;5,583333
4;Chateaufort;44,266667;6,016667
4;Chateauneuf-Miravail;44,15;5,716667
4;Clamensane;44,316667;6,066667
4;Claret;44,366667;5,95
4;Corbieres;43,766667;5,75
4;Cruis;44,066667;5,833333
4;Curbans;44,433333;6,033333
4;Curel;44,183333;5,666667
4;Dauphin;43,9;5,783333
4;Enchastrayes;44,366667;6,7
4;Entrepierres;44,2;5,983333
4;Faucon-de-Barcelonnette;44,4;6,683333
4;Faucon-du-Caire;44,4;6,1
4;Fontienne;44,016667;5,8
4;Forcalquier;43,966667;5,783333
4;Gigors;44,416667;6,15
4;Jausiers;44,416667;6,733333
4;La Breole;44,45;6,3
4;La Condamine-Chatelard;;
4;La Motte-du-Caire;44,35;6,033333
4;Larche;44,45;6,85
4;Lardiers;44,05;5,716667
4;La Rochegiron;44,083333;5,65
4;Le Caire;44,366667;6,05
4;Le Lauzet-Ubaye;44,433333;6,433333
4;Les Omergues;44,166667;5,6
4;Les Thuiles;44,4;6,566667
4;Le Vernet;44,283333;6,4
4;L'Hospitalet;44,083333;5,7
4;Limans;43,983333;5,733333
4;Mallefougasse-Auges;;
4;Mane;43,933333;5,766667
4;Manosque;43,833333;5,783333
4;Melve;44,35;5,983333
4;Meolans-Revel;;
4;Meyronnes;44,483333;6,8
4;Mison;44,266667;5,833333
4;Montclar;44,4;6,333333
4;Montfuron;43,833333;5,7
4;Montjustin;43,85;5,633333
4;Montlaux;;
4;Montsalier;;
4;Nibles;44,283333;6,016667
4;Niozelles;43,933333;5,833333
4;Noyers-sur-Jabron;44,166667;5,833333
4;Ongles;44,033333;5,733333
4;Oppedette;43,933333;5,6
4;Piegut;44,45;6,116667
4;Pierrerue;43,95;5,833333
4;Pierrevert;43,816667;5,75
4;Pontis;44,5;6,366667
4;Redortiers;44,083333;5,65
4;Reillanne;43,883333;5,666667
4;Revest-des-Brousses;43,966667;5,666667
4;Revest-du-Bion;44,083333;5,55
4;Revest-Saint-Martin;44,033333;5,816667
4;Sainte-Croix-a-Lauze;43,916667;5,616667
4;Saint-Etienne-les-Orgues;44,05;5,783333
4;Sainte-Tulle;43,783333;5,766667
4;Saint-Geniez;44,25;6,05
4;Saint-Maime;43,9;5,8
4;Saint-Martin-les-Eaux;43,883333;5,75
4;Saint-Martin-les-Seyne;;
4;Saint-Michel-l'Observatoire;43,916667;5,716667
4;Saint-Paul-sur-Ubaye;;
4;Saint-Pons;;
4;Saint-Vincent-les-Forts;44,45;6,383333
4;Saint-Vincent-sur-Jabron;44,166667;5,733333
4;Saumane;44,083333;5,683333
4;Selonnet;44,366667;6,3
4;Seyne;44,35;6,35
4;Sigonce;44;5,833333
4;Sigoyer;44,316667;5,95
4;Simiane-la-Rotonde;43,983333;5,566667
4;Sisteron;44,2;5,933333
4;Theze;44,316667;5,916667
4;Turriers;44,4;6,166667
4;Uvernet-Fours;;
4;Vacheres;43,933333;5,633333
4;Valavoire;44,266667;6,083333
4;Valbelle;44,15;5,883333
4;Valernes;44,266667;5,966667
4;Vaumeilh;44,283333;5,95
4;Venterol;44,45;6,1
4;Verdaches;44,266667;6,333333
4;Villemus;43,866667;5,7
4;Villeneuve;43,9;5,866667
4;Volx;43,883333;5,85
5;Agnieres-en-Devoluy;44,7;5,883333
5;Antonaves;44,266667;5,8
5;Aspremont;;
5;Aspres-sur-Buech;44,516667;5,75
5;Avancon;44,533333;6,183333
5;Barcillonnette;44,433333;5,916667
5;Barret-sur-Meouge;44,266667;5,733333
5;Breziers;44,433333;6,2
5;Bruis;44,466667;5,516667
5;Chabestan;44,483333;5,783333
5;Chanousse;44,35;5,65
5;Chateauneuf-de-Chabre;44,283333;5,816667
5;Chateauneuf-d'Oze;44,516667;5,866667
5;Chateauvieux;;
5;Chorges;44,55;6,283333
5;Eourres;44,2;5,7
5;Esparron;;
5;Espinasses;44,466667;6,216667
5;Etoile-Saint-Cyrice;;
5;Eyguians;44,35;5,783333
5;Fouillouse;44,45;6,016667
5;Furmeyer;44,533333;5,866667
5;Gap;44,566667;6,083333
5;Jarjayes;44,5;6,116667
5;La Batie-Montsaleon;44,45;5,75
5;La Batie-Neuve;44,566667;6,2
5;La Batie-Vieille;44,55;6,166667
5;La Beaume;44,566667;5,633333
5;La Cluse;44,633333;5,85
5;La Faurie;44,566667;5,733333
5;La Freissinouse;44,533333;6,016667
5;Lagrand;44,333333;5,75
5;La Haute-Beaume;;
5;La Piarre;44,466667;5,65
5;Laragne-Monteglin;44,32;5,82
5;Lardier-et-Valenca;44,433333;5,966667
5;La Roche-des-Arnauds;44,566667;5,95
5;La Rochette;44,6;6,15
5;La Saulce;44,416667;6,016667
5;Lazer;44,35;5,833333
5;Le Bersac;44,416667;5,75
5;L'Epine;44,416667;5,616667
5;Le Poet;44,283333;5,883333
5;Le Saix;44,483333;5,833333
5;Lettret;44,466667;6,066667
5;Manteyer;44,533333;5,966667
5;Mereuil;44,383333;5,733333
5;Monetier-Allemont;44,383333;5,933333
5;Montbrand;44,583333;5,683333
5;Montclus;44,416667;5,683333
5;Montgardin;44,55;6,233333
5;Montjay;44,366667;5,6
5;Montmaur;44,583333;5,883333
5;Montmorin;44,45;5,55
5;Montrond;44,383333;5,75
5;Moydans;44,4;5,5
5;Neffes;44,5;6,033333
5;Nossage-et-Benevent;;
5;Orpierre;44,316667;5,683333
5;Oze;44,5;5,8
5;Pelleautier;44,516667;6,016667
5;Prunieres;44,55;6,333333
5;Rabou;44,6;6
5;Rambaud;44,55;6,133333
5;Remollon;44,466667;6,166667
5;Ribeyret;44,416667;5,55
5;Ribiers;44,233333;5,866667
5;Rochebrune;44,466667;6,183333
5;Rosans;44,383333;5,466667
5;Rousset;;
5;Saint-Andre-de-Rosans;44,383333;5,516667
5;Saint-Auban-d'Oze;44,5;5,85
5;Saint-Disdier;;
5;Sainte-Colombe;;
5;Sainte-Marie;44,466667;5,475
5;Saint-Etienne-en-Devoluy;44,7;5,933333
5;Saint-Etienne-le-Laus;44,5;6,166667
5;Saint-Genis;44,383333;5,766667
5;Saint-Julien-en-Beauchene;44,616667;5,7
5;Saint-Pierre-Avez;44,25;5,766667
5;Saint-Pierre-d'Argencon;44,516667;5,7
5;Saleon;44,35;5,766667
5;Salerans;44,25;5,7
5;Savournon;44,416667;5,783333
5;Serres;;
5;Sigottier;44,45;5,7
5;Sigoyer;44,483333;5,966667
5;Sorbiers;44,366667;5,566667
5;Tallard;44,466667;6,05
5;Theus;44,466667;6,2
5;Trescleoux;44,35;5,7
5;Upaix;44,316667;5,883333
5;Valserres;44,483333;6,133333
5;Ventavon;44,366667;5,9
5;Veynes;44,533333;5,816667
5;Vitrolles;44,433333;5,933333
5;Abries;44,783333;6,933333
5;Aiguilles;44,783333;6,866667
5;Ancelle;44,633333;6,2
5;Arvieux;44,766667;6,733333
5;Aspres-les-Corps;44,8;5,983333
5;Baratier;44,533333;6,5
5;Benevent-et-Charbillac;;
5;Briancon;44,9;6,65
5;Buissard;44,65;6,133333
5;Ceillac;44,666667;6,775
5;Cervieres;44,866667;6,716667
5;Chabottes;44,65;6,183333
5;Champcella;;
5;Champoleon;44,733333;6,233333
5;Chateauroux-les-Alpes;44,616667;6,516667
5;Chateau-Ville-Vieille;44,766667;6,8
5;Chauffayer;44,75;6,016667
5;Crevoux;44,55;6,6
5;Crots;;
5;Embrun;44,566667;6,5
5;Eygliers;;
5;Forest-Saint-Julien;44,65;6,133333
5;Freissinieres;;
5;Guillestre;44,666667;6,65
5;La Chapelle-en-Valgaudemar;;
5;La Fare-en-Champsaur;44,666667;6,066667
5;La Grave;45,05;6,31
5;La Motte-en-Champsaur;44,733333;6,066667
5;L'Argentiere-la-Bessee;44,783333;6,55
5;La Roche-de-Rame;44,75;6,583333
5;La Salle les Alpes;;
5;Laye;44,633333;6,083333
5;Le Glaizil;44,75;5,983333
5;Le Monetier-les-Bains;44,983333;6,516667
5;Le Noyer;44,7;6,016667
5;Le Sauze-du-Lac;;
5;Les Costes;44,75;6,033333
5;Les Infournas;44,716667;6,1
5;Les Orres;44,516667;6,55
5;Les Vigneaux;44,816667;6,533333
5;Molines-en-Queyras;44,733333;6,85
5;Mont-Dauphin;44,666667;6,616667
5;Montgenevre;44,933333;6,716667
5;Nevache;45,01955;6,6044
5;Orcieres;44,683333;6,333333
5;Pelvoux;;
5;Poligny;44,7;6,05
5;Puy-Saint-Andre;44,883333;6,6
5;Puy-Saint-Eusebe;44,566667;6,416667
5;Puy-Saint-Pierre;44,9;6,616667
5;Puy-Saint-Vincent;44,833333;6,483333
5;Puy-Sanieres;44,55;6,433333
5;Reallon;44,6;6,366667
5;Reotier;44,666667;6,6
5;Risoul;44,65;6,633333
5;Ristolas;44,766667;6,95
5;Saint-Andre-d'Embrun;44,583333;6,533333
5;Saint-Apollinaire;44,566667;6,366667
5;Saint-Bonnet-en-Champsaur;;
5;Saint-Chaffrey;44,916667;6,6
5;Saint-Clement-sur-Durance;;
5;Saint-Crepin;44,7;6,6
5;Saint-Eusebe-en-Champsaur;44,733333;6,033333
5;Saint-Firmin;;
5;Saint-Jacques-en-Valgodemard;44,766667;6,05
5;Saint-Jean-Saint-Nicolas;44,666667;6,216667
5;Saint-Julien-en-Champsaur;44,666667;6,133333
5;Saint-Laurent-du-Cros;44,65;6,116667
5;Saint-Leger-les-Melezes;44,65;6,2
5;Saint-Martin-de-Queyrieres;;
5;Saint-Maurice-en-Valgodemard;44,8;6,083333
5;Saint-Michel-de-Chaillol;44,666667;6,166667
5;Saint-Sauveur;44,533333;6,516667
5;Saint-Veran;44,7;6,866667
5;Savines-le-Lac;;
5;Val-des-Pres;44,95;6,683333
5;Vallouise;44,85;6,483333
5;Vars;44,616667;6,683333
5;Villar-d'Arene;45,04225;6,33711
5;Villar-Loubiere;44,833333;6,133333
5;Villar-Saint-Pancrace;44,866667;6,633333
6;Nice;43,7;7,25
6;Nice;43,7;7,25
6;Falicon;43,75;7,283333
6;La Trinite;43,75;7,316667
6;Nice;43,7;7,25
6;Saint-Andre de la Roche;43,733333;7,283333
6;Beaulieu-sur-Mer;43,7;7,333333
6;Beausoleil;43,75;7,433333
6;Blausasc;43,8;7,366667
6;Breil-sur-Roya;43,933333;7,5
6;Cap-d'Ail;43,716667;7,4
6;Castellar;43,8;7,5
6;Castillon;43,833333;7,466667
6;Eze;43,716667;7,366667
6;Fontan;44;7,55
6;Gorbio;43,783333;7,45
6;La Brigue;44,066667;7,616667
6;La Turbie;43,75;7,4
6;L'Escarene;43,833333;7,35
6;Luceram;43,883333;7,366667
6;Menton;43,783333;7,5
6;Moulinet;43,95;7,416667
6;Peille;43,8;7,4
6;Peillon;43,783333;7,383333
6;Roquebrune-Cap-Martin;43,766667;7,466667
6;Sainte-Agnes;43,8;7,466667
6;Saint-Jean-Cap-Ferrat;43,683333;7,333333
6;Saorge;43,983333;7,55
6;Sospel;43,883333;7,45
6;Tende;44,083333;7,6
6;Touet-de-l'Escarene;;
6;Villefranche-sur-Mer;43,7;7,316667
6;Ascros;43,916667;7,016667
6;Aspremont;43,783333;7,25
6;Auvare;43,983333;6,916667
6;Bairols;43,983333;7,133333
6;Belvedere;44;7,316667
6;Bendejun;43,833333;7,3
6;Berre-les-Alpes;;
6;Beuil;44,1;6,983333
6;Bonson;43,866667;7,2
6;Cantaron;43,766667;7,316667
6;Castagniers;43,8;7,233333
6;Chateauneuf-d'Entraunes;44,133333;6,833333
6;Chateauneuf-Villevieille;;
6;Clans;44;7,15
6;Coaraze;43,866667;7,3
6;Colomars;43,766667;7,216667
6;Contes;43,816667;7,316667
6;Cuebris;43,883333;7,016667
6;Daluis;44,016667;6,816667
6;Drap;43,75;7,316667
6;Duranus;43,9;7,266667
6;Entraunes;44,183333;6,75
6;Gilette;43,85;7,166667
6;Guillaumes;44,083333;6,85
6;Ilonse;44,033333;7,1
6;Isola;44,183333;7,05
6;La Bollene-Vesubie;43,983333;7,333333
6;La Croix-sur-Roudoule;43,983333;6,866667
6;Lantosque;43,966667;7,316667
6;La Penne;43,933333;6,95
6;La Roquette-sur-Var;43,833333;7,2
6;La Tour;43,95;7,183333
6;Levens;43,866667;7,216667
6;Lieuche;44;7,016667
6;Malaussene;43,916667;7,133333
6;Marie;44,033333;7,133333
6;Massoins;43,933333;7,133333
6;Nice;43,7;7,25
6;Peone;44,116667;6,9
6;Pierlas;44,033333;7,033333
6;Pierrefeu;43,866667;7,083333
6;Puget-Rostang;43,966667;6,916667
6;Puget-Theniers;43,95;6,9
6;Revest-les-Roches;43,883333;7,15
6;Rigaud;44;6,983333
6;Rimplas;44,066667;7,133333
6;Roquebilliere;44,016667;7,3
6;Roquesteron;43,866667;7
6;Roubion;44,083333;7,05
6;Roure;44,083333;7,083333
6;Saint-Antonin;43,916667;6,983333
6;Saint-Blaise;43,833333;7,233333
6;Saint-Dalmas-le-Selvage;44,283333;6,866667
6;Saint-Etienne-de-Tinee;44,258333;6,925
6;Saint-Leger;44;6,833333
6;Saint-Martin-d'Entraunes;44,133333;6,766667
6;Saint-Martin-du-Var;43,816667;7,2
6;Saint-Martin-Vesubie;44,066667;7,25
6;Saint-Sauveur-sur-Tinee;44,083333;7,1
6;Sauze;44,083333;6,833333
6;Sigale;43,866667;6,95
6;Thiery;43,983333;7,033333
6;Toudon;43,9;7,116667
6;Touet-sur-Var;43,95;7
6;Tourette-du-Chateau;;
6;Tournefort;43,95;7,15
6;Tourrette-Levens;43,783333;7,266667
6;Utelle;43,916667;7,25
6;Valdeblore;;
6;Venanson;44,05;7,25
6;Villars-sur-Var;43,933333;7,1
6;Villeneuve-d'Entraunes;;
6;Bezaudun-les-Alpes;43,8;7,1
6;Bouyon;43,833333;7,116667
6;Cagnes-sur-Mer;43,666667;7,15
6;Carros;43,8;7,183333
6;Cipieres;43,783333;6,95
6;Consegudes;43,85;7,05
6;Coursegoules;43,8;7,033333
6;Gattieres;43,766667;7,183333
6;Greolieres;43,8;6,95
6;La Colle-sur-Loup;43,683333;7,1
6;La Gaude;43,716667;7,15
6;Le Broc;43,816667;7,166667
6;Les Ferres;43,85;7,1
6;Roquesteron-Grasse;43,866667;7
6;Saint-Jeannet;43,75;7,15
6;Saint-Laurent-du-Var;43,666667;7,183333
